Time,Displacement,Force
0.481,0.0355,0.017
0.482,0.0356,0.017
0.483,0.0357,0.0171
0.484,0.0358,0.0171
0.485,0.0358,0.0172
0.486,0.0359,0.0172
0.487,0.036,0.0172
0.488,0.0361,0.0173
0.489,0.0362,0.0173
0.49,0.0362,0.0174
0.491,0.0363,0.0174
0.492,0.0364,0.0174
0.493,0.0365,0.0175
0.494,0.0366,0.0175
0.495,0.0367,0.0176
0.496,0.0367,0.0176
0.497,0.0368,0.0176
0.498,0.0369,0.0177
0.499,0.037,0.0177
0.5,0.0371,0.0177
0.501,0.0372,0.0178
0.502,0.0372,0.0178
0.503,0.0373,0.0179
0.504,0.0374,0.0179
0.505,0.0375,0.0179
0.506,0.0376,0.018
0.507,0.0377,0.018
0.508,0.0378,0.0181
0.509,0.0378,0.0181
0.51,0.0379,0.0181
0.511,0.038,0.0182
0.512,0.0381,0.0182
0.513,0.0382,0.0183
0.514,0.0383,0.0183
0.515,0.0384,0.0183
0.516,0.0385,0.0184
0.517,0.0385,0.0184
0.518,0.0386,0.0185
0.519,0.0387,0.0185
0.52,0.0388,0.0185
0.521,0.0389,0.0186
0.522,0.039,0.0186
0.523,0.0391,0.0186
0.524,0.0391,0.0187
0.525,0.0392,0.0187
0.526,0.0393,0.0188
0.527,0.0394,0.0188
0.528,0.0395,0.0188
0.529,0.0396,0.0189
0.53,0.0397,0.0189
0.531,0.0397,0.0189
0.532,0.0398,0.019
0.533,0.0399,0.019
0.534,0.04,0.019
0.535,0.0401,0.019
0.536,0.0401,0.0191
0.537,0.0402,0.0191
0.538,0.0403,0.0191
0.539,0.0404,0.0192
0.54,0.0405,0.0192
0.541,0.0405,0.0192
0.542,0.0406,0.0193
0.543,0.0407,0.0193
0.544,0.0408,0.0193
0.545,0.0408,0.0194
0.546,0.0409,0.0194
0.547,0.041,0.0194
0.548,0.0411,0.0195
0.549,0.0411,0.0195
0.55,0.0412,0.0196
0.551,0.0413,0.0196
0.552,0.0414,0.0196
0.553,0.0414,0.0197
0.554,0.0415,0.0197
0.555,0.0416,0.0198
0.556,0.0417,0.0198
0.557,0.0417,0.0199
0.558,0.0418,0.0199
0.559,0.0419,0.02
0.56,0.0419,0.02
0.561,0.042,0.02
0.562,0.0421,0.0201
0.563,0.0422,0.0201
0.564,0.0422,0.0202
0.565,0.0423,0.0202
0.566,0.0424,0.0202
0.567,0.0425,0.0203
0.568,0.0426,0.0203
0.569,0.0426,0.0203
0.57,0.0427,0.0204
0.571,0.0428,0.0204
0.572,0.0429,0.0204
0.573,0.043,0.0205
0.574,0.043,0.0205
0.575,0.0431,0.0205
0.576,0.0432,0.0206
0.577,0.0433,0.0206
0.578,0.0434,0.0206
0.579,0.0435,0.0207
0.58,0.0435,0.0207
0.581,0.0436,0.0208
0.582,0.0437,0.0208
0.583,0.0438,0.0208
0.584,0.0439,0.0209
0.585,0.044,0.0209
0.586,0.0441,0.0209
0.587,0.0442,0.021
0.588,0.0443,0.021
0.589,0.0444,0.021
0.59,0.0444,0.0211
0.591,0.0445,0.0211
0.592,0.0446,0.0212
0.593,0.0447,0.0212
0.594,0.0448,0.0212
0.595,0.0449,0.0213
0.596,0.045,0.0213
0.597,0.0451,0.0214
0.598,0.0452,0.0214
0.599,0.0453,0.0215
0.6,0.0454,0.0215
0.601,0.0455,0.0216
0.602,0.0456,0.0216
0.603,0.0457,0.0217
0.604,0.0458,0.0217
0.605,0.0458,0.0217
0.606,0.0459,0.0218
0.607,0.046,0.0218
0.608,0.0461,0.0219
0.609,0.0462,0.0219
0.61,0.0463,0.022
0.611,0.0464,0.022
0.612,0.0465,0.022
0.613,0.0466,0.0221
0.614,0.0467,0.0221
0.615,0.0467,0.0222
0.616,0.0468,0.0222
0.617,0.0469,0.0223
0.618,0.047,0.0223
0.619,0.0471,0.0223
0.62,0.0472,0.0224
0.621,0.0473,0.0224
0.622,0.0474,0.0225
0.623,0.0474,0.0225
0.624,0.0475,0.0225
0.625,0.0476,0.0226
0.626,0.0477,0.0226
0.627,0.0478,0.0227
0.628,0.0479,0.0227
0.629,0.0479,0.0227
0.63,0.048,0.0228
0.631,0.0481,0.0228
0.632,0.0482,0.0228
0.633,0.0483,0.0229
0.634,0.0484,0.0229
0.635,0.0484,0.0229
0.636,0.0485,0.023
0.637,0.0486,0.023
0.638,0.0487,0.023
0.639,0.0488,0.0231
0.64,0.0488,0.0231
0.641,0.0489,0.0231
0.642,0.049,0.0232
0.643,0.0491,0.0232
0.644,0.0492,0.0232
0.645,0.0493,0.0233
0.646,0.0493,0.0233
0.647,0.0494,0.0233
0.648,0.0495,0.0234
0.649,0.0496,0.0234
0.65,0.0497,0.0234
0.651,0.0498,0.0235
0.652,0.0498,0.0235
0.653,0.0499,0.0235
0.654,0.05,0.0236
0.655,0.0501,0.0236
0.656,0.0502,0.0237
0.657,0.0502,0.0237
0.658,0.0503,0.0237
0.659,0.0504,0.0238
0.66,0.0505,0.0238
0.661,0.0506,0.0239
0.662,0.0507,0.0239
0.663,0.0507,0.024
0.664,0.0508,0.024
0.665,0.0509,0.024
0.666,0.051,0.0241
0.667,0.0511,0.0241
0.668,0.0511,0.0242
0.669,0.0512,0.0242
0.67,0.0513,0.0243
0.671,0.0514,0.0243
0.672,0.0514,0.0244
0.673,0.0515,0.0244
0.674,0.0516,0.0244
0.675,0.0517,0.0245
0.676,0.0518,0.0245
0.677,0.0518,0.0245
0.678,0.0519,0.0246
0.679,0.052,0.0246
0.68,0.0521,0.0247
0.681,0.0521,0.0247
0.682,0.0522,0.0247
0.683,0.0523,0.0248
0.684,0.0524,0.0248
0.685,0.0524,0.0248
0.686,0.0525,0.0249
0.687,0.0526,0.0249
0.688,0.0526,0.0249
0.689,0.0527,0.025
0.69,0.0528,0.025
0.691,0.0529,0.025
0.692,0.0529,0.0251
0.693,0.053,0.0251
0.694,0.0531,0.0251
0.695,0.0532,0.0252
0.696,0.0532,0.0252
0.697,0.0533,0.0252
0.698,0.0534,0.0253
